Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_scaled,Attrition_encoded,Income_per_Year,Tenure_Ratio
30.0,Yes,Travel_Frequently,464,Research & Development,4,3,Technical Degree,1,514,3,Male,40,3,1,Research Scientist,4,Single,2285.0,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,0,0,0,-0.9960587344797656,1,571.25,0.25
37.0,No,Travel_Rarely,1107,Research & Development,14,3,Life Sciences,1,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034.0,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17,-0.7538673876313617,0,159.68421052631578,0.9473684210526315
40.0,No,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715.0,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3,0.1130418258540464,0,635.0,0.5555555555555556
42.0,No,Travel_Rarely,201,Research & Development,1,4,Life Sciences,1,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576.0,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2,-0.9019630309645646,0,286.22222222222223,0.5555555555555556
37.0,No,Travel_Rarely,1305,Research & Development,10,4,Life Sciences,1,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197.0,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1,-0.37780792650359984,0,220.89473684210526,0.05263157894736842
43.0,No,Travel_Rarely,982,Research & Development,12,3,Life Sciences,1,520,1,Male,59,2,4,Research Director,2,Divorced,14336.0,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,2.900667461608505,0,551.3846153846154,0.9615384615384616
40.0,No,Travel_Rarely,555,Research & Development,2,3,Medical,1,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448.0,13436,6,Y,No,22,4,2,80,1,20,3,3,1,0,0,0,-0.6199992733520037,0,164.1904761904762,0.047619047619047616
34.0,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,72,3,2,Sales Executive,3,Married,6538.0,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2,0.37916128974755287,0,934.0,0.42857142857142855
31.0,No,Travel_Rarely,480,Research & Development,7,2,Medical,1,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306.0,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12,-0.34256245680202974,0,307.57142857142856,0.9285714285714286
43.0,No,Travel_Frequently,313,Research & Development,21,3,Medical,1,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258.0,15238,7,Y,No,20,4,1,80,1,8,1,3,3,2,1,2,-1.0047892636718976,0,250.88888888888889,0.3333333333333333
43.0,No,Travel_Rarely,1473,Research & Development,8,4,Other,1,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522.0,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2,-0.27271822326497336,0,502.44444444444446,0.5555555555555556
25.0,No,Travel_Rarely,891,Sales,4,2,Life Sciences,1,527,2,Female,99,2,2,Sales Executive,4,Single,4487.0,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,-0.2840355759214408,0,747.8333333333334,0.8333333333333334
37.0,No,Non-Travel,1063,Research & Development,25,5,Medical,1,529,2,Female,72,3,2,Research Scientist,3,Married,4449.0,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,-0.29632298737703405,0,278.0625,0.8125
31.0,No,Travel_Rarely,329,Research & Development,1,2,Life Sciences,1,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218.0,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2,-1.0177233809935748,0,443.6,0.8
56.0,No,Travel_Frequently,906,Sales,6,3,Life Sciences,1,532,3,Female,86,4,4,Sales Executive,1,Married,13212.0,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,2.5372187648693783,0,357.0810810810811,0.1891891891891892
30.0,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,1,533,2,Female,83,3,2,Sales Executive,3,Single,6577.0,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4,0.3917720541361881,0,939.5714285714286,0.7142857142857143
41.0,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,Sales Executive,1,Married,8392.0,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7,0.9786576276072868,0,762.9090909090909,0.9090909090909091
28.0,No,Travel_Rarely,1300,Research & Development,17,2,Medical,1,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558.0,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8,-0.26107751767546394,0,414.3636363636364,0.9090909090909091
25.0,Yes,Travel_Rarely,688,Research & Development,3,3,Medical,1,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031.0,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,-0.43148451338855986,1,575.8571428571429,0.2857142857142857
52.0,No,Travel_Rarely,319,Research & Development,3,3,Medical,1,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969.0,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4,0.8418793369305514,0,274.7931034482759,0.1724137931034483
45.0,No,Travel_Rarely,192,Research & Development,10,2,Life Sciences,1,544,1,Male,69,3,1,Research Scientist,4,Married,2654.0,9655,3,Y,No,21,4,4,80,2,8,3,2,2,2,0,2,-0.8767415021872943,0,294.8888888888889,0.2222222222222222
42.0,No,Travel_Frequently,532,Research & Development,29,2,Life Sciences,1,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556.0,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2,-0.2617242235415478,0,227.8,0.25
30.0,No,Travel_Rarely,317,Research & Development,2,3,Life Sciences,1,548,3,Female,43,1,2,Manufacturing Director,4,Single,6091.0,24793,2,Y,No,20,4,3,80,0,11,2,3,5,4,0,2,0.23462252867781122,0,507.5833333333333,0.4166666666666667
46.0,No,Travel_Rarely,1485,Research & Development,18,3,Medical,1,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810.0,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,-0.17959257854889815,0,240.5,0.5
42.0,No,Travel_Frequently,1368,Research & Development,28,4,Technical Degree,1,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523.0,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,-0.27239487033193144,0,565.375,0.75
24.0,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,554,1,Female,62,3,1,Sales Representative,2,Single,3202.0,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,-0.6995440948803179,1,457.42857142857144,0.7142857142857143
34.0,Yes,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351.0,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0,-0.9747174408989984,1,587.75,0.5
38.0,No,Travel_Frequently,1490,Research & Development,2,2,Life Sciences,1,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702.0,12106,1,Y,Yes,23,4,3,80,1,1,3,3,1,0,0,0,-1.1845734944432094,0,851.0,0.5
26.0,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886.0,3032,1,Y,No,22,4,2,80,2,3,3,1,3,2,0,2,-0.8017236217215671,0,721.5,0.75
30.0,No,Non-Travel,1400,Research & Development,3,3,Life Sciences,1,562,3,Male,53,3,1,Laboratory Technician,4,Married,2097.0,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4,-1.056849085891648,0,209.7,0.5
29.0,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,11935.0,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,2.124297069374837,0,1085.0,0.9090909090909091
29.0,Yes,Travel_Rarely,408,Research & Development,25,5,Technical Degree,1,565,3,Female,71,2,1,Research Scientist,2,Married,2546.0,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1,-0.9116636189558225,1,363.7142857142857,0.2857142857142857
19.0,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,1,566,1,Male,52,2,1,Human Resources,4,Single,2564.0,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,-0.9058432661610678,1,1282.0,0.5
30.0,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,Sales Executive,1,Married,8412.0,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8,0.9851246862681254,0,764.7272727272727,0.8181818181818182
57.0,No,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,14118.0,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0,2.830176522205365,0,427.8181818181818,0.030303030303030304
30.0,No,Non-Travel,1116,Research & Development,2,3,Medical,1,571,3,Female,49,3,1,Laboratory Technician,4,Single,2564.0,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7,-0.9058432661610678,0,197.23076923076923,0.8461538461538461
60.0,No,Travel_Frequently,1499,Sales,28,3,Marketing,1,573,3,Female,80,2,3,Sales Executive,1,Married,10266.0,2845,4,Y,No,19,3,4,80,0,22,5,4,18,13,13,11,1.5846210241278593,0,446.3478260869565,0.782608695652174
47.0,No,Travel_Rarely,983,Research & Development,2,2,Medical,1,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,4903.5,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,-0.14935907930947792,0,233.5,0.23809523809523808
35.0,No,Travel_Rarely,144,Research & Development,22,3,Life Sciences,1,577,4,Male,46,1,1,Laboratory Technician,3,Single,4903.5,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3,-0.14935907930947792,0,700.5,0.7142857142857143
54.0,No,Travel_Rarely,548,Research & Development,8,4,Life Sciences,1,578,3,Female,42,3,2,Laboratory Technician,3,Single,3780.0,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0,-0.5126460995820837,0,189.0,0.05
34.0,No,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,579,4,Male,62,2,1,Research Scientist,3,Divorced,2768.0,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,-0.8398792678205145,0,184.53333333333333,0.4666666666666667
46.0,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,94,2,3,Sales Executive,4,Married,9071.0,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,1.1982142691427558,0,566.9375,0.1875
31.0,No,Travel_Rarely,1274,Research & Development,9,1,Life Sciences,1,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648.0,14394,1,Y,No,25,4,4,80,1,13,6,4,13,8,0,8,1.7081418445498757,0,760.5714285714286,0.9285714285714286
33.0,Yes,Travel_Rarely,1277,Research & Development,15,1,Medical,1,582,2,Male,56,3,3,Manager,3,Married,13610.0,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7,2.6659132322200656,1,850.625,0.4375
33.0,Yes,Travel_Rarely,587,Research & Development,10,1,Medical,1,584,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408.0,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3,-0.6329333906736808,1,378.6666666666667,0.4444444444444444
30.0,No,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,Male,57,3,1,Sales Representative,2,Single,2983.0,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2,-0.7703583872165001,0,596.6,0.6
35.0,No,Travel_Rarely,1276,Research & Development,16,3,Life Sciences,1,586,4,Male,72,3,3,Healthcare Representative,3,Married,7632.0,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0,0.7329093984954218,0,693.8181818181819,0.7272727272727273
31.0,Yes,Travel_Frequently,534,Research & Development,20,3,Life Sciences,1,587,1,Male,66,3,3,Healthcare Representative,3,Married,9824.0,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0,1.4416990277233273,1,755.6923076923077,0.07692307692307693
34.0,Yes,Travel_Frequently,988,Human Resources,23,3,Human Resources,1,590,2,Female,43,3,3,Human Resources,1,Divorced,9950.0,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2,1.4824414972866102,1,829.1666666666666,0.25
42.0,No,Travel_Frequently,1474,Research & Development,5,2,Other,1,591,2,Male,97,3,1,Laboratory Technician,3,Married,2093.0,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0,-1.0581424976238156,0,232.55555555555554,0.2222222222222222
36.0,No,Non-Travel,635,Sales,10,4,Medical,1,592,2,Male,32,3,3,Sales Executive,4,Single,9980.0,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7,1.492142085277868,0,907.2727272727273,0.9090909090909091
22.0,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,1,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894.0,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,-0.4757838652153039,1,778.8,0.4
48.0,No,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,Female,37,3,2,Sales Executive,4,Married,4051.0,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7,-0.4250174547277213,0,270.06666666666666,0.6
41.0,No,Non-Travel,267,Sales,10,2,Life Sciences,1,599,4,Male,56,3,2,Sales Executive,4,Single,6230.0,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,0.27956858637063914,0,366.47058823529414,0.8235294117647058
35.0,No,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,Male,85,3,2,Sales Executive,3,Married,4717.0,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9,-0.20966440132179745,0,294.8125,0.6875
40.0,No,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,601,2,Female,75,3,4,Manufacturing Director,3,Single,13237.0,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,2.5453025881954265,0,575.5217391304348,0.8695652173913043
39.0,No,Travel_Frequently,443,Research & Development,8,1,Life Sciences,1,602,3,Female,48,3,1,Laboratory Technician,3,Married,3755.0,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7,-0.5207299229081319,0,417.22222222222223,0.8888888888888888
31.0,No,Travel_Rarely,828,Sales,2,1,Life Sciences,1,604,2,Male,77,3,2,Sales Executive,4,Single,6582.0,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5,0.3933888188013977,0,598.3636363636364,0.5454545454545454
42.0,No,Travel_Rarely,319,Research & Development,24,3,Medical,1,605,4,Male,56,3,3,Manufacturing Director,1,Married,7406.0,6950,1,Y,Yes,21,4,4,80,1,10,5,2,10,9,5,8,0.6598316356279461,0,673.2727272727273,0.9090909090909091
45.0,No,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,61,3,2,Sales Executive,2,Married,4805.0,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7,-0.1812093432141078,0,480.5,0.8
26.0,Yes,Travel_Frequently,426,Human Resources,17,4,Life Sciences,1,608,2,Female,58,3,1,Human Resources,3,Divorced,2741.0,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0,-0.8486097970126466,1,304.55555555555554,0.7777777777777778
29.0,No,Travel_Rarely,232,Research & Development,19,3,Technical Degree,1,611,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262.0,22645,4,Y,No,12,3,2,80,2,8,2,4,3,2,1,2,-0.3567899858558745,0,473.55555555555554,0.3333333333333333
31.0,No,Travel_Rarely,688,Sales,7,3,Life Sciences,1,613,3,Male,44,2,3,Manager,4,Divorced,11557.0,25291,9,Y,No,21,4,3,80,1,10,3,2,5,4,0,1,2.002069660684988,0,1050.6363636363637,0.45454545454545453
18.0,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,Sales Representative,2,Single,1878.0,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0,-1.1276633782278302,1,1878.0,0.0
40.0,No,Non-Travel,1094,Sales,28,3,Other,1,615,3,Male,58,1,3,Sales Executive,1,Divorced,10932.0,11373,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1,1.7999740775337831,0,520.5714285714286,0.047619047619047616
41.0,No,Non-Travel,509,Research & Development,2,4,Other,1,616,1,Female,62,2,2,Healthcare Representative,3,Single,6811.0,2112,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7,0.46743664046799915,0,619.1818181818181,0.7272727272727273
26.0,No,Travel_Rarely,775,Sales,29,2,Medical,1,618,1,Male,45,3,2,Sales Executive,3,Divorced,4306.0,4267,5,Y,No,12,3,1,80,2,8,5,3,0,0,0,0,-0.34256245680202974,0,478.44444444444446,0.0
35.0,No,Travel_Rarely,195,Sales,1,3,Medical,1,620,1,Female,80,3,2,Sales Executive,3,Single,4859.0,6698,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3,-0.16374828482984372,0,809.8333333333334,0.8333333333333334
34.0,No,Travel_Rarely,258,Sales,21,4,Life Sciences,1,621,4,Male,74,4,2,Sales Executive,4,Single,5337.0,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7,-0.009185582835802269,0,485.1818181818182,0.9090909090909091
26.0,Yes,Travel_Rarely,471,Research & Development,24,3,Technical Degree,1,622,3,Male,66,1,1,Laboratory Technician,4,Single,2340.0,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0,-0.9782743231624595,1,1170.0,0.5
37.0,No,Travel_Rarely,799,Research & Development,1,3,Technical Degree,1,623,2,Female,59,3,3,Manufacturing Director,4,Single,4903.5,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2,-0.14935907930947792,0,377.1923076923077,0.46153846153846156
46.0,No,Travel_Frequently,1034,Research & Development,18,1,Medical,1,624,1,Female,86,3,3,Healthcare Representative,3,Married,10527.0,8984,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2,1.6690161396518024,0,363.0,0.06896551724137931
37.0,No,Non-Travel,142,Sales,9,4,Medical,1,626,1,Male,69,3,3,Sales Executive,2,Divorced,8834.0,24666,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7,1.121579624011819,0,883.4,0.9
52.0,No,Travel_Rarely,956,Research & Development,6,2,Technical Degree,1,630,4,Male,78,3,2,Research Scientist,1,Divorced,5577.0,22087,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9,0.06841912109426038,0,293.5263157894737,0.5263157894736842
32.0,Yes,Non-Travel,1474,Sales,11,4,Other,1,631,4,Male,60,4,2,Sales Executive,3,Married,4707.0,23914,8,Y,No,12,3,4,80,0,6,2,3,4,2,1,2,-0.2128979306522167,1,672.4285714285714,0.5714285714285714
24.0,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,Sales Representative,4,Married,2400.0,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,-0.9588731471799439,0,600.0,0.5
38.0,No,Travel_Rarely,1495,Research & Development,10,3,Medical,1,634,3,Female,76,3,2,Healthcare Representative,3,Married,9824.0,22174,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0,1.4416990277233273,0,517.0526315789474,0.05263157894736842
37.0,No,Travel_Rarely,446,Research & Development,1,4,Life Sciences,1,635,2,Female,65,3,2,Manufacturing Director,2,Married,6447.0,15701,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3,0.3497361728407375,0,716.3333333333334,0.6666666666666666
24.0,No,Travel_Rarely,691,Research & Development,23,3,Medical,1,639,2,Male,89,4,1,Research Scientist,4,Married,2725.0,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,-0.8537834439413174,0,389.2857142857143,0.8571428571428571
26.0,No,Travel_Rarely,703,Sales,28,2,Marketing,1,641,1,Male,66,3,2,Sales Executive,2,Married,6272.0,7428,1,Y,No,20,4,4,80,2,6,5,4,5,3,1,4,0.29314940955840013,0,896.0,0.7142857142857143
24.0,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127.0,9100,1,Y,No,21,4,4,80,1,1,2,3,1,0,0,0,-1.0471484979003902,0,1063.5,0.5
25.0,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,Sales Representative,3,Married,2096.0,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6,-1.05717243882469,0,262.0,0.875
24.0,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886.0,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2,-0.8017236217215671,1,412.2857142857143,0.8571428571428571
30.0,Yes,Travel_Frequently,448,Sales,12,4,Life Sciences,1,648,2,Male,74,2,1,Sales Representative,1,Married,2033.0,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0,-1.0775436736063313,1,1016.5,0.5
34.0,No,Travel_Rarely,254,Research & Development,1,2,Life Sciences,1,649,2,Male,83,2,1,Research Scientist,4,Married,3622.0,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3,-0.5637358630027083,0,517.4285714285714,0.8571428571428571
31.0,Yes,Travel_Rarely,1365,Sales,13,4,Medical,1,650,2,Male,46,3,2,Sales Executive,1,Divorced,4233.0,11512,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2,-0.36616722091409043,1,423.3,0.3
35.0,No,Travel_Rarely,538,Research & Development,25,2,Other,1,652,1,Male,54,2,2,Laboratory Technician,4,Single,3681.0,14004,4,Y,No,14,3,4,80,0,9,3,3,3,2,0,2,-0.5446580399532346,0,368.1,0.3
31.0,No,Travel_Rarely,525,Sales,6,4,Medical,1,653,1,Male,66,4,2,Sales Executive,4,Divorced,5460.0,6219,4,Y,No,22,4,4,80,2,13,4,4,7,7,5,7,0.030586827928354838,0,390.0,0.5
27.0,No,Travel_Rarely,798,Research & Development,6,4,Medical,1,655,1,Female,66,2,1,Research Scientist,3,Divorced,2187.0,5013,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3,-1.0277473219178745,0,312.42857142857144,0.7142857142857143
37.0,No,Travel_Rarely,558,Sales,2,3,Marketing,1,656,4,Male,75,3,2,Sales Executive,3,Married,9602.0,3010,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0,1.3699146765880192,0,533.4444444444445,0.16666666666666666
20.0,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,1,657,4,Female,83,2,1,Research Scientist,2,Single,2836.0,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0,-0.8178912683736634,0,1418.0,0.5
42.0,No,Travel_Rarely,622,Research & Development,2,4,Life Sciences,1,659,3,Female,81,3,2,Healthcare Representative,4,Married,4089.0,5718,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2,-0.41273004327212803,0,371.72727272727275,0.9090909090909091
38.0,No,Travel_Rarely,362,Research & Development,1,1,Life Sciences,1,662,3,Female,43,3,1,Research Scientist,1,Single,2619.0,14561,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0,-0.8880588548437618,0,291.0,0.0
43.0,No,Travel_Frequently,1001,Research & Development,9,5,Medical,1,663,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679.0,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7,0.101401120264537,0,516.2727272727273,0.7272727272727273
48.0,No,Travel_Rarely,1236,Research & Development,1,4,Life Sciences,1,664,4,Female,40,2,4,Manager,1,Married,15402.0,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2,3.2453616882312,0,700.0909090909091,0.13636363636363635
44.0,No,Travel_Rarely,1112,Human Resources,1,4,Life Sciences,1,665,1,Female,50,2,2,Human Resources,3,Single,5985.0,26894,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2,0.20034711777536687,0,544.0909090909091,0.18181818181818182
34.0,No,Travel_Rarely,204,Sales,14,3,Technical Degree,1,666,3,Female,31,3,1,Sales Representative,3,Divorced,4903.5,2912,1,Y,Yes,18,3,4,80,2,8,3,3,8,2,0,6,-0.14935907930947792,0,544.8333333333334,0.8888888888888888
27.0,Yes,Travel_Rarely,1420,Sales,2,1,Marketing,1,667,3,Male,85,3,1,Sales Representative,1,Divorced,3041.0,16346,0,Y,No,11,3,2,80,1,5,3,3,4,3,0,2,-0.7516039171000682,1,506.8333333333333,0.6666666666666666
21.0,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,669,3,Male,49,3,1,Sales Representative,3,Single,3447.0,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,-0.6203226262850456,0,861.75,0.75
22.0,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,675,1,Male,69,3,1,Research Scientist,3,Married,2773.0,12145,0,Y,No,20,4,4,80,0,3,3,3,2,2,2,2,-0.8382625031553049,0,693.25,0.5
33.0,No,Travel_Rarely,1216,Sales,8,4,Marketing,1,677,3,Male,39,3,2,Sales Executive,3,Divorced,7104.0,20431,0,Y,No,12,3,4,80,0,6,3,3,5,0,1,2,0.562179049849284,0,1014.8571428571429,0.7142857142857143
32.0,No,Travel_Rarely,646,Research & Development,9,4,Life Sciences,1,679,1,Female,92,3,2,Research Scientist,4,Married,6322.0,18089,1,Y,Yes,12,3,4,80,1,6,2,2,6,4,0,5,0.3093170562104965,0,903.1428571428571,0.8571428571428571
30.0,No,Travel_Frequently,160,Research & Development,3,3,Medical,1,680,3,Female,71,3,1,Research Scientist,3,Divorced,2083.0,22653,1,Y,No,20,4,3,80,1,1,2,3,1,0,0,0,-1.061376026954235,0,1041.5,0.5
53.0,No,Travel_Rarely,238,Sales,1,1,Medical,1,682,4,Female,34,3,2,Sales Executive,1,Single,8381.0,7507,7,Y,No,20,4,4,80,0,18,2,4,14,7,8,10,0.9751007453438256,0,441.10526315789474,0.7368421052631579
34.0,No,Travel_Rarely,1397,Research & Development,1,5,Life Sciences,1,683,2,Male,42,3,1,Research Scientist,4,Married,2691.0,7660,1,Y,No,12,3,4,80,1,10,4,2,10,9,8,8,-0.864777443664743,0,244.63636363636363,0.9090909090909091
45.0,Yes,Travel_Frequently,306,Sales,26,4,Life Sciences,1,684,1,Female,100,3,2,Sales Executive,1,Married,4286.0,5630,2,Y,No,14,3,4,80,2,5,4,3,1,1,0,0,-0.34902951546286826,1,714.3333333333334,0.16666666666666666
26.0,No,Travel_Rarely,991,Research & Development,6,3,Life Sciences,1,686,3,Female,71,3,1,Laboratory Technician,4,Married,2659.0,17759,1,Y,Yes,13,3,3,80,1,3,2,3,3,2,0,2,-0.8751247375220846,0,664.75,0.75
37.0,No,Travel_Rarely,482,Research & Development,3,3,Other,1,689,3,Male,36,3,3,Manufacturing Director,3,Married,9434.0,9606,1,Y,No,15,3,3,80,1,10,2,3,10,7,7,8,1.3155913838369755,0,857.6363636363636,0.9090909090909091
29.0,No,Travel_Rarely,1176,Sales,3,2,Medical,1,690,2,Female,62,3,2,Sales Executive,3,Married,5561.0,3487,1,Y,No,14,3,1,80,1,6,5,2,6,0,1,2,0.06324547416558954,0,794.4285714285714,0.8571428571428571
